"id","description","chart_template_id:id","name","base_code_id/id","tax_code_id/id","amount","applicable_type","base_sign","ref_base_sign","domain","include_base_amount","parent_id/id","python_applicable","ref_base_code_id/id","account_paid_id/id","ref_tax_code_id/id","sequence","type_tax_use","ref_tax_sign","tax_sign","price_include","type","child_depend"
"account_tax_kvrm","Käänteinen vero, rakentamispalvelut, myynti","l10n_fi","Käänteinen vero, rakentamispalvelut, myynti","account_tax_code_36",,,"True","1.0","-1.0",,"False",,,"account_tax_code_36",,,"1","All","1.0","1.0","False","percent","False"
"account_tax_kvro","Käänteinen vero, rakentamispalvelut, osto","l10n_fi","Käänteinen vero, rakentamispalvelut, osto","account_tax_code_9",,"0.24","True","1.0","-1.0",,"False",,,"account_tax_code_9",,,"1","All","1.0","1.0","False","percent","False"
"account_tax_kv","Käänteinen verovelvollisuus","l10n_fi","Käänteinen verovelvollisuus",,,"0.24","True","1.0","1.0",,"False",,,,,,"1","All","1.0","1.0","False","percent","False"
"account_tax_m0","Myynti ALV 0%","l10n_fi","Myynti ALV 0%","account_tax_code_2",,,"True","1.0","-1.0",,"False",,,"account_tax_code_2",,,"1","Sale","-1.0","1.0","False","percent","False"
"account_tax_m10","Myynti ALV 10%","l10n_fi","Myynti ALV 10%","account_tax_code_11","account_tax_code_3","0.1","True","1.0","-1.0",,"False",,,"account_tax_code_11","account_account_2939","account_tax_code_3","1","Sale","-1.0","1.0","False","percent","False"
"account_tax_m14","Myynti ALV 14%","l10n_fi","Myynti ALV 14%","account_tax_code_5","account_tax_code_4","0.14","True","1.0","-1.0",,"False",,,"account_tax_code_5","account_account_2939","account_tax_code_25","1","Sale","-1.0","1.0","False","percent","False"
"account_tax_mey","Myynti ei-yhteisö 0%","l10n_fi","Myynti ei-yhteisö 0%","account_tax_code_7",,,"True","1.0","1.0",,"False",,,"account_tax_code_7",,,"1","Sale","1.0","1.0","False","percent","False"
"account_tax_o0","Osto ALV 0%","l10n_fi","Osto ALV 0%","account_tax_code_12",,,"True","1.0","-1.0",,"False",,,"account_tax_code_12",,,"1","Purchase","1.0","-1.0","False","percent","False"
"account_tax_o10","Osto ALV 10%","l10n_fi","Osto ALV 10%","account_tax_code_24","account_tax_code_20","0.1","True","1.0","-1.0",,"False",,,"account_tax_code_24","account_account_2939","account_tax_code_15","1","Purchase","1.0","-1.0","False","percent","False"
"account_tax_o14","Osto ALV 14%","l10n_fi","Osto ALV 14%","account_tax_code_33","account_tax_code_21","0.14","True","1.0","-1.0",,"False",,,"account_tax_code_33","account_account_2939","account_tax_code_21","1","Purchase","1.0","-1.0","False","percent","False"
"account_tax_oey","Osto ei-yhteisö 0%","l10n_fi","Osto ei-yhteisö 0%","account_tax_code_14",,,"True","1.0","-1.0",,"False",,,"account_tax_code_14",,,"1","Purchase","1.0","1.0","False","percent","False"
"account_tax_pmy","Palvelumyynti yhteisö 0%","l10n_fi","Palvelumyynti yhteisö 0%","account_tax_code_32",,,"True","1.0","-1.0",,"False",,,"account_tax_code_32",,,"1","All","1.0","1.0","False","percent","False"
"account_tax_poy","Palveluosto yhteisö 0%","l10n_fi","Palveluosto yhteisö 0%","account_tax_code_8",,"0.24","True","1.0","-1.0",,"False",,,"account_tax_code_8",,,"1","All","1.0","1.0","False","percent","False"
"account_tax_tmy","Tavaramyynti yhteisö 0%","l10n_fi","Tavaramyynti yhteisö 0%","account_tax_code_38",,,"True","1.0","-1.0",,"False",,,"account_tax_code_38",,,"1","Sale","-1.0","1.0","False","percent","False"
"account_tax_toy","Tavaraosto yhteisö 0%","l10n_fi","Tavaraosto yhteisö 0%","account_tax_code_37",,"0.24","True","1.0","-1.0",,"False",,,"account_tax_code_37",,,"1","Purchase","1.0","1.0","False","percent","False"
"account_tax_m24","Myynti ALV 24%","l10n_fi","Myynti ALV 24%","account_tax_code_6","account_tax_code_5","0.24","True","1.0","-1.0",,"False",,,"account_tax_code_6","account_account_2939","account_tax_code_26","1","Sale","-1.0","1.0","False","percent","False"
"account_tax_o24","Osto ALV 24%","l10n_fi","Osto ALV 24%","account_tax_code_34","account_tax_code_22","0.24","True","1.0","-1.0",,"False",,,"account_tax_code_34","account_account_2939","account_tax_code_22","1","Purchase","1.0","-1.0","False","percent","False"
